,3/22,3/23,3/24,3/25,3/26,3/27,3/28,3/29,3/30,3/31,4/1,4/2,4/3,,,
06:00,,,,,,早餐,,,,,,,,,,
06:30,,,,,,出发去哲学之路,,,,,,,,,,
07:00,,,早餐,Checkout,,车上,,春日大社,,,,,,,,
07:30,,,Checkout,八公像，到原宿,,哲学之路,Checkout,春日大社,,,,,,,,
08:00,,,浅草寺,明治神宫,,哲学之路,京都站前往岚山,奈良公园,天王寺到吉野,前往宇治,,,,,,
08:30,,,浅草寺,明治神宫,,楼门瀑布,岚山,奈良公园,车上,车上,,,,,,
09:00,,,浅草寺,明治神宫,,楼门瀑布,嵯峨小火车,东大寺,车上,,出发前往贵船口,,,,,
09:30,,,仲见世商店街,明治神宫,Checkout,东山,大巴,Checkout,车上,,前往近江高島駅,,,,,
10:00,,,仲见世商店街,出发去箱根,雕刻之森美术馆,东山,保津川游船,前往大阪,车上,抹茶体验,车上,,,,,
10:30,,,晴空塔,车上,雕刻之森美术馆,东祇园,保津川游船,车上,车上,抹茶体验,车上,,,,,
11:00,,,晴空塔,车上,雕刻之森美术馆,东祇园，花见路,保津川游船,大阪站,吉野山,,车上,,,,,
11:30,,,出发去东京站,车上随便吃点,去小田原,西祇园,保津川游船,大阪站,吉野山,,骑车,,,,,
12:00,,,午饭,Shuttle，放行李,JR 去名古屋,锦市场,岚山,大阪站,吉野山,,SUP,,,,,
12:30,,,日比谷公园,早云山,新干线,锦市场,岚山,天满宫,吉野山,,SUP,,,,,
13:00,,,日比谷公园,大涌谷,新干线,二条城,岚山,天满宫,吉野山,前往贵船,SUP,,,,,
13:30,,,日本皇宫,大涌谷,新干线,二条城,出发去金阁寺,前往天守阁,吉野山,车上,SUP,,,,,
14:00,,,日本皇宫,桃源台码头,乘车去名古屋城,三年坂,金阁寺,天守阁,吉野山,车上,骑车,,成田特快,,,
14:30,,抵达,日本皇宫,海盗船,名古屋城,二年坂,金阁寺,天守阁,吉野山,贵船神社,骑车,,成田特快,,,
15:00,,成田特快,日本皇宫,海盗船,名古屋城,清水寺,前往京都御苑,前往通天阁,吉野山,Checkin,骑车,,,,,
15:30,,成田特快,日本皇宫,箱根町码头,JR 名古屋,清水寺,京都御苑,通天阁,吉野到天王寺,,返回京都,,,,,
16:00,,Checkin,银座,元箱根码头,新干线,清水寺,京都御苑,,车上,,车上,,,,,
16:30,,秋叶原,银座,箱根神社,前往稻荷,前往京都站,京都到奈良,,车上,,前往东京,,,,,
17:00,,秋叶原,东京塔,前往小涌谷,伏见稻荷大社,京都塔,Checkin,,车上,,车上,,,,,
17:30,,秋叶原,东京塔,小涌谷乐园,千本鸟居,逛街,若草山,,车上,,车上,,,,,
18:00,,阿美横丁,东京塔,小涌谷乐园,伏见稻荷大社,逛街,若草山,,车上,,车上,,,,,
18:30,,阿美横丁,前往涩谷站,小涌谷乐园,Checkin,夜游祇园,,,天王寺到心斋桥,,车上,,,,,
19:00,,上野公园,任天堂直营店,小涌谷乐园,,夜游祇园,,,Checkin,,,,,,,
19:30,,上野公园,逛街,乘车返回强罗,,Checkin,,,,,,,,,,
20:00,,上野公园,逛街,晚饭,,,,,,,,,,,,
20:30,,上野公园,Checkin,Checkin,,,,,,,,,,,,
21:00,,上野公园,,,,,,,,,,,,,,
21:30,,上野公园,,,,,,,,,,,,,,
22:00,,私人温泉,,,,,,,,,,,,,,
22:30,,私人温泉,,,,,,,,,,,,,,
23:00,,,,,,,,,,,,,,,,